,parkID,surveyName,0
29,30,Haleakal_,"Lake Clark,69.3% match<br>Pinnacles,68.9% match<br>Katmai,68.4% match<br>Sequoia,68.1% match<br>Joshua Tree,67.6% match<br>Grand Canyon,67.2% match<br>Death Valley,64.0% match<br>Yosemite,58.8% match<br>Hawai'I Volcanoes,56.5% match<br>Everglades,53.8% match<br>"
30,31,Hawai'I Volcanoes,"Olympic,59.2% match<br>Haleakal_,56.5% match<br>Everglades,56.3% match<br>Yellowstone,55.7% match<br>Death Valley,54.1% match<br>Sequoia,53.6% match<br>Pinnacles,52.2% match<br>Redwood,50.5% match<br>Grand Canyon,50.1% match<br>Yosemite,46.7% match<br>"
31,32,Hot Springs,"Gateway Arch,76.3% match<br>Everglades,75.6% match<br>Dry Tortugas,74.9% match<br>Grand Canyon,73.4% match<br>Wind Cave,73.2% match<br>Yellowstone,72.8% match<br>Carlsbad Caverns,72.5% match<br>Redwood,70.4% match<br>Rocky Mountain,68.4% match<br>Cuyahoga Valley,68.1% match<br>"
32,33,Indiana Dunes,"Grand Teton,75.6% match<br>Gateway Arch,74.8% match<br>Great Smoky Mountains,74.2% match<br>Glacier,70.3% match<br>Wind Cave,68.3% match<br>Theodore Roosevelt,68.0% match<br>Biscayne,64.5% match<br>Congaree,63.7% match<br>Dry Tortugas,59.5% match<br>Mammoth Cave,52.4% match<br>"
33,34,Isle Royale,"Death Valley,74.8% match<br>Katmai,74.7% match<br>Lassen Volcanic,74.5% match<br>Wind Cave,73.3% match<br>Mesa Verde,72.9% match<br>Acadia,72.1% match<br>American Samoa,70.8% match<br>Voyageurs,66.5% match<br>Theodore Roosevelt,64.1% match<br>Gates of the Arctic,56.2% match<br>"
34,35,Joshua Tree,"Crater Lake,51.2% match<br>Arches,50.2% match<br>Lassen Volcanic,49.6% match<br>Redwood,48.6% match<br>Kings Canyon,47.2% match<br>Bryce Canyon,47.1% match<br>Zion,45.3% match<br>Sequoia,43.5% match<br>Yosemite,37.8% match<br>Death Valley,36.0% match<br>"
35,36,Katmai,"Everglades,71.8% match<br>Wrangell-St. Elias,68.5% match<br>Haleakal_,68.4% match<br>Carlsbad Caverns,65.9% match<br>Channel Islands,65.1% match<br>Denali,62.9% match<br>American Samoa,61.5% match<br>Kenai Fjords,59.3% match<br>Gates of the Arctic,42.3% match<br>Lake Clark,2.3% match<br>"
36,37,Kenai Fjords,"Death Valley,66.9% match<br>Mammoth Cave,65.8% match<br>Rocky Mountain,65.5% match<br>Bryce Canyon,64.1% match<br>Congaree,63.3% match<br>Katmai,59.3% match<br>Lake Clark,58.3% match<br>Channel Islands,57.5% match<br>Wrangell-St. Elias,56.4% match<br>Denali,35.0% match<br>"
37,38,Kings Canyon,"Petrified Forest,58.2% match<br>Pinnacles,55.6% match<br>Arches,52.5% match<br>Grand Canyon,51.6% match<br>Bryce Canyon,49.4% match<br>Zion,48.9% match<br>Yosemite,48.9% match<br>Joshua Tree,47.2% match<br>Death Valley,45.4% match<br>Sequoia,30.9% match<br>"
38,39,Kobuk Valley,"Redwood,100.0% match<br>Kenai Fjords,100.0% match<br>Joshua Tree,100.0% match<br>Lake Clark,100.0% match<br>Petrified Forest,100.0% match<br>Mammoth Cave,100.0% match<br>Mesa Verde,100.0% match<br>Mount Rainier,100.0% match<br>North Cascades,100.0% match<br>Kobuk Valley,100.0% match<br>"
39,40,Lake Clark,"American Samoa,74.0% match<br>Olympic,73.2% match<br>Everglades,72.3% match<br>Haleakal_,69.3% match<br>Carlsbad Caverns,67.5% match<br>Channel Islands,64.6% match<br>Denali,63.7% match<br>Gates of the Arctic,60.9% match<br>Kenai Fjords,58.3% match<br>Katmai,2.3% match<br>"
40,41,Lassen Volcanic,"Bryce Canyon,59.0% match<br>Grand Canyon,58.6% match<br>Death Valley,57.7% match<br>Sequoia,57.2% match<br>Zion,56.1% match<br>Redwood,55.0% match<br>Yosemite,50.8% match<br>Crater Lake,49.6% match<br>Joshua Tree,49.6% match<br>Pinnacles,44.6% match<br>"
41,42,Mammoth Cave,"Biscayne,65.1% match<br>Yellowstone,64.7% match<br>Congaree,64.1% match<br>Grand Canyon,63.4% match<br>Bryce Canyon,62.8% match<br>Great Smoky Mountains,62.5% match<br>Mount Rainier,61.4% match<br>Rocky Mountain,60.7% match<br>Grand Teton,58.8% match<br>Indiana Dunes,52.4% match<br>"
42,43,Mesa Verde,"Everglades,62.9% match<br>Petrified Forest,62.8% match<br>Canyonlands,62.7% match<br>Death Valley,62.3% match<br>Great Sand Dunes,59.7% match<br>Zion,59.2% match<br>Grand Canyon,58.0% match<br>Bryce Canyon,54.9% match<br>Capitol Reef,52.5% match<br>Arches,47.8% match<br>"
43,44,Mount Rainier,"Kings Canyon,61.6% match<br>Mammoth Cave,61.4% match<br>Channel Islands,60.0% match<br>Death Valley,59.5% match<br>Redwood,59.3% match<br>Joshua Tree,58.4% match<br>Grand Teton,55.2% match<br>Crater Lake,47.6% match<br>North Cascades,46.4% match<br>Olympic,39.9% match<br>"
44,45,North Cascades,"Zion,73.1% match<br>Bryce Canyon,72.6% match<br>Wrangell-St. Elias,71.8% match<br>Mammoth Cave,70.9% match<br>Petrified Forest,69.9% match<br>Saguaro,69.8% match<br>Crater Lake,66.4% match<br>American Samoa,65.4% match<br>Mount Rainier,46.4% match<br>Olympic,41.0% match<br>"
