,parkID,surveyName,0
27,28,Great Smoky Mountains,"['1: Mammoth Cave, 0.625343616103295', '2: Badlands, 0.6243644704877223', '3: Zion, 0.6183815675127868', '4: Yosemite, 0.5995470018624193', '5: Bryce Canyon, 0.5835748917031043', '6: Yellowstone, 0.5825616767018778', '7: Grand Canyon, 0.525222711551476', '8: Acadia, 0.49715903976140896', '9: Everglades, 0.49451091241660583', '10: Rocky Mountain, 0.49092343241383873']"
28,29,Guadalupe Mountains,"['1: Death Valley, 0.6819345607803536', '2: Congaree, 0.674949794276993', '3: Capitol Reef, 0.6567364783568653', '4: Big Bend, 0.6422887326699371', '5: Gateway Arch, 0.6323592647645793', '6: White Sands, 0.577504911707903', '7: Gates of the Arctic, 0.5602802320565499', '8: Wrangell-St. Elias, 0.5435353106474793', '9: Carlsbad Caverns, 0.5297782206732665', '10: American Samoa, 0.4503502900706873']"
29,30,Haleakal_,"['1: Lake Clark, 0.692567383197769', '2: Pinnacles, 0.6894740495852448', '3: Katmai, 0.6836970043482173', '4: Sequoia, 0.6805876226253418', '5: Joshua Tree, 0.6755985580722382', '6: Grand Canyon, 0.6723192728449008', '7: Death Valley, 0.6399407566260512', '8: Yosemite, 0.5879110430585246', ""9: Hawai'I Volcanoes, 0.5654440394651071"", '10: Everglades, 0.5379009345863611']"
30,31,Hawai'I Volcanoes,"['1: Olympic, 0.592293648505118', '2: Haleakal_, 0.5654440394651071', '3: Everglades, 0.5631882106726136', '4: Yellowstone, 0.5568991039767821', '5: Death Valley, 0.5410908781124373', '6: Sequoia, 0.5364715146648983', '7: Pinnacles, 0.5215225335234661', '8: Redwood, 0.5047877044399904', '9: Grand Canyon, 0.5011337850697062', '10: Yosemite, 0.4673071437608166']"
31,32,Hot Springs,"['1: Gateway Arch, 0.763476335443904', '2: Everglades, 0.7556740320391592', '3: Dry Tortugas, 0.7486127184482261', '4: Grand Canyon, 0.7341352726538815', '5: Wind Cave, 0.7322424508041758', '6: Yellowstone, 0.7275429055302842', '7: Carlsbad Caverns, 0.725275611636683', '8: Redwood, 0.7040823720857661', '9: Rocky Mountain, 0.6843163747269354', '10: Cuyahoga Valley, 0.6814603801458268']"
32,33,Indiana Dunes,"['1: Grand Teton, 0.755937749479433', '2: Gateway Arch, 0.748104688337744', '3: Great Smoky Mountains, 0.7416116940650868', '4: Glacier, 0.7033448357929666', '5: Wind Cave, 0.6826510489225454', '6: Theodore Roosevelt, 0.6799624467238274', '7: Biscayne, 0.6445226165290578', '8: Congaree, 0.6366513814319584', '9: Dry Tortugas, 0.5948766130364413', '10: Mammoth Cave, 0.5235009355402971']"
33,34,Isle Royale,"['1: Death Valley, 0.7478656940522707', '2: Katmai, 0.7472703905573747', '3: Lassen Volcanic, 0.7453778165604533', '4: Wind Cave, 0.7325361217889328', '5: Mesa Verde, 0.7293661309288666', '6: Acadia, 0.720544718107619', '7: American Samoa, 0.7081729839122226', '8: Voyageurs, 0.6646706586826348', '9: Theodore Roosevelt, 0.6407615828632851', '10: Gates of the Arctic, 0.5622594758683338']"
34,35,Joshua Tree,"['1: Crater Lake, 0.51191292196615', '2: Arches, 0.5024240267864182', '3: Lassen Volcanic, 0.4955297798206535', '4: Redwood, 0.4860099653994394', '5: Kings Canyon, 0.47212983071442216', '6: Bryce Canyon, 0.470789883157134', '7: Zion, 0.45283298876217404', '8: Sequoia, 0.43537771043304974', '9: Yosemite, 0.37842687456064117', '10: Death Valley, 0.36008913922689834']"
35,36,Katmai,"['1: Everglades, 0.7182282391664274', '2: Wrangell-St. Elias, 0.6845598510617441', '3: Haleakal_, 0.6836970043482173', '4: Carlsbad Caverns, 0.6593659110409915', '5: Channel Islands, 0.6510728463864524', '6: Denali, 0.6288651904873973', '7: American Samoa, 0.6150998205402496', '8: Kenai Fjords, 0.5928044790297191', '9: Gates of the Arctic, 0.42264973081037427', '10: Lake Clark, 0.02286016359632237']"
36,37,Kenai Fjords,"['1: Death Valley, 0.6686157667189799', '2: Mammoth Cave, 0.658431116494105', '3: Rocky Mountain, 0.6547905328879431', '4: Bryce Canyon, 0.6414070551454589', '5: Congaree, 0.6330424593436025', '6: Katmai, 0.5928044790297191', '7: Lake Clark, 0.5832781493496907', '8: Channel Islands, 0.5751214466926584', '9: Wrangell-St. Elias, 0.5642722710784727', '10: Denali, 0.3501649419283319']"
